player,team,season,matches,runs,balls_faced,fours,sixes,wickets,runs_conceded,balls_bowled,catches,fantasy_points,wins,batting_sr,bowling_econ
A McGrath,England,2004,4,23,62,2,0,2,42,75,0,113,1,37.096774193548384,3.36
A Mishra,India,2009/10,4,0,0,0,0,4,156,214,1,194,3,0.0,4.373831775700935
A Mishra,India,2010,3,0,3,0,0,1,142,175,0,88,1,0.0,4.868571428571428
A Mishra,India,2011,5,5,16,0,0,9,194,305,1,389,3,31.25,3.8163934426229504
A Mishra,India,2013,5,9,8,1,0,18,196,294,1,617,5,112.5,4.0
A Mishra,India,2013/14,2,1,1,0,0,2,104,122,0,99,1,100.0,5.114754098360656
A Mishra,India,2014,2,4,17,0,0,2,54,61,0,74,2,23.52941176470588,5.311475409836066
A Mishra,India,2014/15,2,5,13,1,0,3,111,121,0,134,1,38.46153846153847,5.5041322314049586
A Mishra,India,2015/16,4,4,8,1,0,2,216,242,0,142,1,50.0,5.355371900826446
A Mishra,India,2016/17,5,15,21,1,0,12,209,271,1,440,3,71.42857142857143,4.627306273062731
A Mithun,India,2009/10,1,24,23,0,2,0,63,48,0,52,0,104.34782608695652,7.875
A Mithun,India,2010,1,4,17,0,0,0,21,27,0,13,0,23.52941176470588,4.666666666666667
A Mithun,India,2011/12,3,23,17,2,2,3,109,113,1,169,2,135.29411764705884,5.787610619469027
A Nao,Papua New Guinea,2017,2,8,8,0,0,0,67,81,1,52,1,100.0,4.962962962962963
A Nao,Papua New Guinea,2017/18,4,6,9,0,0,6,129,210,1,260,0,66.66666666666666,3.6857142857142855
A Nao,Papua New Guinea,2019,1,5,3,1,0,1,57,56,2,68,0,166.66666666666669,6.107142857142857
A Nao,Papua New Guinea,2021/22,4,2,4,0,0,9,133,212,2,335,2,50.0,3.7641509433962264
A Nao,Papua New Guinea,2022,2,8,10,1,0,0,109,92,0,44,0,80.0,7.108695652173913
A Nao,Papua New Guinea,2022/23,6,25,37,2,1,2,186,220,2,188,1,67.56756756756756,5.072727272727273
A Ndlovu,Zimbabwe,2019,2,0,0,0,0,1,77,103,0,63,0,0.0,4.485436893203883
A Nehra,India,2002/03,13,10,20,2,0,17,416,620,0,747,9,50.0,4.025806451612904
A Nehra,India,2003/04,4,14,5,2,1,7,201,237,0,285,2,280.0,5.0886075949367084
A Nehra,India,2004,6,10,11,1,0,6,158,273,1,296,2,90.9090909090909,3.4725274725274726
A Nehra,India,2004/05,3,1,9,0,0,7,214,179,0,235,1,11.11111111111111,7.1731843575419
A Nehra,Asia XI,2005,2,1,2,0,0,1,49,66,1,66,0,50.0,4.454545454545454
A Nehra,India,2005,3,0,2,0,0,2,66,115,0,98,2,0.0,3.443478260869565
A Nehra,India,2009,7,1,8,0,0,10,232,277,2,380,4,12.5,5.025270758122744
A Nehra,India,2009/10,20,36,51,2,1,28,939,976,2,1135,10,70.58823529411765,5.772540983606557
A Nehra,India,2010,8,8,34,1,0,14,298,395,2,548,5,23.52941176470588,4.526582278481013
A Nehra,India,2010/11,13,9,32,1,0,13,573,607,2,569,10,28.125,5.663920922570016
A Neill,Scotland,2019,1,0,4,0,0,1,22,57,0,51,0,0.0,2.3157894736842106
A Neill,Scotland,2021,1,0,0,0,0,1,19,55,0,49,1,0.0,2.0727272727272728
A Neill,Scotland,2022,6,22,37,1,0,11,240,292,2,427,4,59.45945945945946,4.931506849315069
A Neill,Scotland,2023,1,7,2,1,0,1,44,44,0,54,1,350.0,6.0
A Nel,South Africa,2003,2,1,11,0,0,3,51,94,0,135,1,9.090909090909092,3.25531914893617
A Nel,South Africa,2003/04,7,0,0,0,0,11,279,367,1,435,4,0.0,4.561307901907357
A Nel,South Africa,2004/05,7,3,6,0,0,9,267,311,2,366,4,50.0,5.15112540192926
A Nel,South Africa,2005,2,0,0,0,0,2,58,84,0,98,2,0.0,4.142857142857143
A Nel,South Africa,2005/06,7,4,1,1,0,11,283,410,1,480,6,400.0,4.1414634146341465
A Nel,South Africa,2006/07,17,48,91,5,1,27,590,890,4,1197,11,52.74725274725275,3.9775280898876404
A Nel,South Africa,2007,3,1,3,0,0,4,106,157,0,166,1,33.33333333333333,4.050955414012739
A Nel,South Africa,2007/08,10,43,21,5,2,17,383,537,4,779,9,204.76190476190476,4.279329608938547
A Nel,South Africa,2008,3,23,26,3,0,0,76,91,0,69,0,88.46153846153845,5.010989010989011
A Nortje,South Africa,2018/19,4,8,19,0,0,8,145,194,2,299,4,42.10526315789473,4.484536082474227
A Nortje,South Africa,2019/20,3,1,1,0,0,6,133,145,0,203,3,100.0,5.503448275862069
A Nortje,South Africa,2021,5,10,8,1,0,8,281,286,0,332,2,125.0,5.895104895104895
A Nortje,South Africa,2022,2,6,12,0,0,6,99,91,1,194,1,50.0,6.527472527472527
A Nortje,South Africa,2022/23,6,5,7,1,0,8,245,277,0,317,4,71.42857142857143,5.306859205776173
A Nortje,South Africa,2023/24,1,10,13,1,0,0,58,30,0,18,0,76.92307692307693,11.6
A Patel,Canada,2002/03,2,25,30,3,0,3,67,66,0,138,0,83.33333333333334,6.090909090909091
A Phillip,West Indies,2020/21,1,0,0,0,0,0,43,36,0,10,1,0.0,7.166666666666667
A Phillip,West Indies,2022,4,22,25,0,1,4,158,165,2,206,2,88.0,5.745454545454545
A Saud,Nepal,2022/23,7,125,269,12,2,0,0,0,2,231,2,46.468401486988846,0.0
A Saud,Nepal,2023,2,49,92,3,2,0,0,0,3,105,1,53.2608695652174,0.0
A Saud,Nepal,2024,2,15,40,2,0,0,0,0,3,43,0,37.5,0.0
A Shahzad,England,2009/10,1,0,0,0,0,1,51,57,1,52,1,0.0,5.368421052631579
A Shahzad,England,2010,2,5,9,0,0,5,62,87,0,170,1,55.55555555555556,4.275862068965517
A Shahzad,England,2010/11,7,35,53,0,3,9,307,415,3,455,1,66.0377358490566,4.43855421686747
A Shamshudeen,Canada,2007/08,1,3,30,0,0,0,24,18,0,3,0,10.0,8.0
A Sharafu,United Arab Emirates,2020/21,1,1,9,0,0,0,0,0,0,1,1,11.11111111111111,0.0
A Sharafu,United Arab Emirates,2021/22,2,21,16,3,0,0,0,0,2,52,1,131.25,0.0
A Sharafu,United Arab Emirates,2022,3,26,40,1,1,0,0,0,2,52,1,65.0,0.0
A Sharafu,United Arab Emirates,2022/23,7,119,204,10,0,0,0,0,4,204,2,58.333333333333336,0.0
A Sharafu,United Arab Emirates,2023/24,2,29,44,4,1,0,0,0,1,59,0,65.9090909090909,0.0
A Sharafu,United Arab Emirates,2024,3,61,72,10,1,0,0,0,1,122,1,84.72222222222221,0.0
A Sharma,United Arab Emirates,2023,7,136,188,17,2,0,0,0,9,311,2,72.3404255319149,0.0
A Sharma,United Arab Emirates,2024,4,72,101,8,2,0,0,0,1,135,1,71.28712871287128,0.0
A Sharma,United Arab Emirates,2024/25,2,7,21,0,0,0,0,0,0,0,0,33.33333333333333,0.0
A Symonds,Australia,2002/03,13,338,406,32,6,2,159,223,7,781,12,83.2512315270936,4.278026905829597
A Symonds,Australia,2003,6,89,152,5,0,4,122,141,3,284,4,58.55263157894737,5.191489361702128
