team,season,matches,wins,win_rate,total_runs,total_wickets,avg_sr,avg_econ
Ireland,2010/11,6,2,33.33,1306,39,63.391969696969696,3.1334848484848483
Ireland,2011,3,2,66.67,671,25,80.765,2.523529411764706
Ireland,2011/12,2,1,50.0,413,10,62.427727272727275,2.977727272727273
Ireland,2012,1,0,0.0,35,0,24.476,0.0
Ireland,2013,5,2,40.0,1131,33,60.67148148148148,3.1090740740740737
Ireland,2013/14,1,0,0.0,190,4,53.92818181818182,2.9299999999999997
Ireland,2014,4,2,50.0,721,28,55.09558139534884,2.763255813953488
Ireland,2014/15,7,4,57.14,1759,39,74.78038961038962,3.202727272727273
Ireland,2015,2,0,0.0,189,6,60.44823529411764,1.8958823529411768
Ireland,2015/16,3,1,33.33,630,18,61.766666666666666,2.3945454545454545
Ireland,2016,2,0,0.0,310,13,66.235,3.872272727272727
Ireland,2016/17,4,2,50.0,769,25,51.116046511627914,2.4188372093023256
Ireland,2017,6,0,0.0,891,26,52.37380952380953,3.0733333333333333
Ireland,2017/18,9,7,77.78,2096,76,56.2332,2.3132
Ireland,2019,7,3,42.86,1608,43,66.23448717948718,2.7592307692307694
Ireland,2019/20,3,0,0.0,583,19,65.25727272727273,2.9272727272727272
Ireland,2020,3,1,33.33,677,19,47.88333333333333,3.06
Ireland,2020/21,2,1,50.0,471,12,50.839130434782604,2.4921739130434784
Ireland,2021,9,3,33.33,1772,52,64.04891304347827,1.8797826086956522
Ireland,2021/22,3,2,66.67,580,29,64.46235294117646,2.4670588235294115
Ireland,2022,3,0,0.0,809,19,75.40575757575758,3.1536363636363633
Ireland,2022/23,6,1,16.67,777,28,44.32844827586207,3.519137931034483
Ireland,2023,11,3,27.27,2382,85,73.38146551724138,3.485603448275862
Ireland,2023/24,3,2,66.67,354,23,26.282666666666668,2.3160000000000003
Ireland,2024/25,3,1,33.33,554,22,71.22272727272727,3.0933333333333333
Jersey,2023,4,1,25.0,888,26,53.05,3.2920000000000003
Kenya,2002/03,11,4,36.36,1777,66,47.817083333333336,2.6915
Kenya,2004,2,0,0.0,228,6,25.58318181818182,2.688181818181818
Kenya,2006,3,0,0.0,429,14,38.71545454545454,2.874848484848485
Kenya,2006/07,4,1,25.0,717,25,53.47577777777777,2.602222222222222
Kenya,2007/08,5,5,100.0,916,45,46.654259259259256,2.4166666666666665
Kenya,2008,2,0,0.0,121,3,49.08083333333334,1.2758333333333332
Kenya,2008/09,2,0,0.0,393,13,58.37954545454545,2.973181818181818
Kenya,2009,1,0,0.0,105,1,53.91363636363636,2.9672727272727273
Kenya,2010/11,6,0,0.0,848,21,42.91469696969697,3.1496969696969694
Kenya,2011/12,2,1,50.0,282,17,34.95272727272727,2.8163636363636364
Kenya,2012/13,1,1,100.0,216,8,45.77181818181818,3.174545454545455
Kenya,2013/14,2,1,50.0,490,9,68.67181818181818,2.8495454545454546
Namibia,2002/03,6,0,0.0,755,30,44.76045454545454,3.250151515151515
Namibia,2019,4,3,75.0,788,29,58.438181818181825,2.421136363636364
Namibia,2019/20,3,1,33.33,595,20,51.592424242424244,2.9187878787878785
Namibia,2021/22,6,3,50.0,1418,36,60.118181818181824,2.8006060606060608
Namibia,2022,7,6,85.71,1477,57,54.31116883116883,2.292987012987013
Namibia,2022/23,14,6,42.86,2435,108,51.611464968152866,2.7148407643312105
Namibia,2023,4,2,50.0,835,31,54.70209302325581,2.644186046511628
Namibia,2023/24,4,3,75.0,600,31,54.684318181818185,2.4072727272727272
Namibia,2024,8,2,25.0,1721,50,55.73057471264368,2.841609195402299
Nepal,2018,1,0,0.0,166,8,47.29666666666666,2.379166666666667
Nepal,2018/19,3,2,66.67,572,22,58.587575757575756,1.9375757575757575
Nepal,2019/20,4,2,50.0,625,29,55.909749999999995,2.23825
Nepal,2021,5,4,80.0,858,40,43.144363636363636,2.3876363636363633
Nepal,2021/22,6,2,33.33,1092,47,53.266615384615385,2.8335384615384616
Nepal,2022,8,2,25.0,1357,59,49.70208791208792,2.5326373626373626
Nepal,2022/23,18,12,66.67,3485,120,57.128265306122444,2.794540816326531
Nepal,2023,10,4,40.0,1994,62,56.586756756756756,3.2226126126126124
Nepal,2023/24,7,4,57.14,1298,46,50.784615384615385,2.579487179487179
Nepal,2024,3,0,0.0,503,21,56.81,2.770909090909091
Nepal,2024/25,3,1,33.33,400,18,60.309615384615384,2.168076923076923
Netherlands,2002/03,5,1,20.0,826,36,39.53472727272727,3.176727272727273
Netherlands,2006/07,6,3,50.0,829,37,40.80476923076923,3.116769230769231
Netherlands,2007,1,0,0.0,0,5,0.0,1.87
Netherlands,2008,1,0,0.0,107,4,23.70818181818182,2.205454545454545
Netherlands,2010,1,0,0.0,110,1,32.89363636363637,5.119090909090909
Netherlands,2010/11,6,0,0.0,1123,28,49.571363636363635,3.2783333333333333
Netherlands,2011,1,0,0.0,172,5,53.08090909090909,2.5563636363636366
Netherlands,2013,3,1,33.33,346,18,47.580000000000005,2.2223333333333333
Netherlands,2013/14,2,1,50.0,458,14,49.96318181818182,3.6340909090909093
Netherlands,2019,2,2,100.0,471,14,55.70857142857143,3.105238095238095
Netherlands,2021,5,3,60.0,794,30,43.31035714285714,2.277142857142857
Netherlands,2021/22,4,0,0.0,534,27,49.1,3.228181818181818
Netherlands,2022,9,0,0.0,2003,39,63.77080808080809,3.3962626262626263
Netherlands,2022/23,5,1,20.0,1109,30,68.96745454545454,2.8470909090909093
Netherlands,2023,8,4,50.0,1895,60,62.96977011494253,3.509655172413793
Netherlands,2023/24,12,4,33.33,2143,85,58.66015503875969,3.3807751937984496
Netherlands,2024,4,4,100.0,782,39,53.98386363636364,2.249318181818182
Netherlands,2024/25,4,1,25.0,693,26,52.38288888888889,2.6697777777777776
New Zealand,2002/03,13,9,69.23,2186,97,48.2986524822695,2.3320567375886525
New Zealand,2003,3,3,100.0,397,28,35.40333333333333,1.5969696969696972
New Zealand,2003/04,10,3,30.0,1718,53,40.19231481481482,2.8872222222222224
New Zealand,2004,4,3,75.0,835,30,51.462857142857146,2.2057142857142855
New Zealand,2004/05,5,2,40.0,1040,30,59.69854545454545,2.2809090909090908
New Zealand,2005,2,2,100.0,481,18,49.22391304347826,2.6221739130434782
New Zealand,2005/06,13,7,53.85,2519,89,50.04635135135135,2.2724324324324323
